sku,name,calories_per_dollar,dollars_per_calorie,price_usd,calories_per_container,calories_per_serving,servings_per_container,dollars_per_serving
006208,MILK HALF GALLON LOW FAT 2%,603.7735849056603,0.0016562500000000002,1.59,960.0,120.0,8.0,0.19875
061572,HOL SALTED CARAM,603.0150753768844,0.0016583333333333335,1.99,1200.0,150.0,8.0,0.24875
068447,HOL PFEFFERNUSE COOKIE MIX,602.0066889632106,0.0016611111111111113,2.99,1800.0,60.0,30.0,0.09966666666666667
096113,FLOUR DEL COMAL TORTILLAS,602.0066889632106,0.0016611111111111113,2.99,1800.0,180.0,10.0,0.29900000000000004
060942,PASTA ORG ITALIAN GIGLI,602.0066889632106,0.0016611111111111113,2.99,1800.0,200.0,9.0,0.33222222222222225
076572,JOE JOES CHOCOLATE VANILLA,602.0066889632106,0.0016611111111111113,2.99,1800.0,120.0,15.0,0.19933333333333333
091749,RIDGE CUT POTATO CHIPS SEA SALT,601.5037593984962,0.0016625000000000001,3.99,2400.0,150.0,16.0,0.249375
058233,SEDIMENTARY COOKIE MIX,601.2024048096192,0.0016633333333333333,4.99,3000.0,150.0,20.0,0.2495
077599,MILK GALLON LOW FAT 2%,595.9885386819484,0.0016778846153846154,3.49,2080.0,130.0,16.0,0.218125
081794,GRANOLA CLSTRS GINGER ALMOND,595.7446808510638,0.0016785714285714288,3.29,1960.0,280.0,7.0,0.47000000000000003
067078,CEREAL TJ'S BRAN FLAKES ORGANIC,593.8864628820961,0.0016838235294117645,2.29,1360.0,170.0,8.0,0.28625
092306,12 GRAIN MINI SNACK CRACKERS,589.5196506550218,0.0016962962962962964,2.29,1350.0,150.0,9.0,0.2544444444444445
058011,SUNFLOWER SEED SPRD UNSWTND,589.1783567134269,0.0016972789115646258,4.99,2940.0,210.0,14.0,0.35642857142857143
078172,TUSCAN PANE,588.6287625418059,0.0016988636363636366,2.99,1760.0,110.0,16.0,0.186875
000132,HARVEST WHOLE WHEAT BREAD,588.6287625418059,0.0016988636363636366,2.99,1760.0,110.0,16.0,0.186875
057623,JINGLE JANGLE ICE CREAM,588.6287625418059,0.0016988636363636366,2.99,1760.0,220.0,8.0,0.37375
056051,DRESSING ORG RANCH,588.6287625418059,0.0016988636363636366,2.99,1760.0,110.0,16.0,0.186875
074554,MAPLE PANCAKE SNAPS,587.9396984924623,0.0017008547008547008,1.99,1170.0,130.0,9.0,0.22111111111111112
095248,BANANA CHIPS,586.5921787709497,0.0017047619047619049,1.79,1050.0,210.0,5.0,0.358
057088,MEYER LEMON CAKE MIX,584.5272206303724,0.0017107843137254904,3.49,2040.0,170.0,12.0,0.29083333333333333
060689,EVERYTHING BAGELS,579.9256505576209,0.0017243589743589742,2.69,1560.0,260.0,6.0,0.4483333333333333
092397,HANDMADE FLOUR TORTILLAS,579.9256505576209,0.0017243589743589742,2.69,1560.0,130.0,12.0,0.22416666666666665
060688,CINNAMON RAISIN BAGELS,579.9256505576209,0.0017243589743589742,2.69,1560.0,260.0,6.0,0.4483333333333333
094591,SOME ENCHANTED CRACKER,578.3132530120481,0.0017291666666666668,2.49,1440.0,80.0,18.0,0.13833333333333334
092147,PLAIN BAGELS,578.3132530120481,0.0017291666666666668,2.49,1440.0,240.0,6.0,0.41500000000000004
092482,ORGANIC CORN CHIP DIPPERS,573.4767025089606,0.00174375,2.79,1600.0,160.0,10.0,0.279
057696,PEAR PERSIMMON TARTE,572.8643216080402,0.0017456140350877193,1.99,1140.0,380.0,3.0,0.6633333333333333
060759,SOY & FLAXSEED TORTILLA CHIPS,572.4907063197027,0.0017467532467532465,2.69,1540.0,140.0,11.0,0.24454545454545454
021539,TOASTED OATMEAL FLAKES,572.4907063197027,0.0017467532467532465,2.69,1540.0,140.0,11.0,0.24454545454545454
056600,GRANOLA PECAN PRALINE,569.1056910569106,0.001757142857142857,3.69,2100.0,210.0,10.0,0.369
080958,VANILLA CAKE & BAKING MIX,568.561872909699,0.0017588235294117647,2.99,1700.0,170.0,10.0,0.29900000000000004
073681,BAKING & CAKE MIX YELLOW,568.561872909699,0.0017588235294117647,2.99,1700.0,170.0,10.0,0.29900000000000004
045883,VANILLA ICE CREAM 1/2 GALLON,566.5236051502146,0.0017651515151515152,6.99,3960.0,330.0,12.0,0.5825
094836,GRAHAM CRACKER HONEY,565.2173913043478,0.0017692307692307695,2.99,1690.0,130.0,13.0,0.23
078295,POTATO CHIPS PIZZA PART,563.7583892617449,0.0017738095238095239,1.49,840.0,140.0,6.0,0.24833333333333332
075762,BUTTERY VEGAN SPREAD ORGANIC,563.6856368563685,0.0017740384615384617,3.69,2080.0,80.0,26.0,0.14192307692307693
061479,CROISSINI 27 LAYER SESAME,562.8140703517588,0.0017767857142857143,1.99,1120.0,140.0,8.0,0.24875
023035,PASTA TORTELLINI,561.8729096989966,0.0017797619047619049,2.99,1680.0,210.0,8.0,0.37375
080436,PASTA BARILOTTI BLACK PEPPER ORGANIC,561.8729096989966,0.0017797619047619049,2.99,1680.0,210.0,8.0,0.37375
094337,VEGGIE & FLAXSEED TORT CHIPS,561.8729096989966,0.0017797619047619049,2.99,1680.0,140.0,12.0,0.24916666666666668
016510,PASTA MINI RAVIOLI,561.8729096989966,0.0017797619047619049,2.99,1680.0,210.0,8.0,0.37375
095347,ORG WHITE CORN TORTILLA CHIPS,561.4035087719298,0.0017812500000000003,3.99,2240.0,140.0,16.0,0.249375
074044,ORG YELLOW CORN TORT CHIP RND,561.4035087719298,0.0017812500000000003,3.99,2240.0,140.0,16.0,0.249375
034797,DUNKERS CHOC CHIP,561.4035087719298,0.0017812500000000003,3.99,2240.0,160.0,14.0,0.28500000000000003
091628,ORG NO SALT WHITE TORTILLA CHIP,561.4035087719298,0.0017812500000000003,3.99,2240.0,140.0,16.0,0.249375
052170,SWEET SAVORY & TART TREK MIX,561.4035087719298,0.0017812500000000003,3.99,2240.0,140.0,16.0,0.249375
